epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.651,1.55826,7.37076,0.04488,0.00121,0.44444,0.00408,0.0015,1.28768,13.4744,0.05138,0.000205067,0.000205067,0.000205067
2,32.4767,1.30793,6.3342,0.03604,0.00145,0.5,0.0051,0.00154,1.4635,13.8391,0.05808,0.00045569,0.00045569,0.00045569
3,48.3752,1.2352,6.54243,0.03362,0.00322,0.55556,0.02464,0.00504,1.32486,13.4211,0.05143,0.000699969,0.000699969,0.000699969
4,60.7829,1.15055,6.75301,0.03337,0.02205,0.72222,0.09489,0.0323,1.26896,13.2575,0.0485,0.000740451,0.000740451,0.000740451
5,73.5201,1.14886,6.58497,0.03207,0.01162,0.88889,0.15517,0.07134,1.23847,13.1892,0.0477,0.000730935,0.000730935,0.000730935
6,86.4739,1.15762,6.39401,0.03078,0.00685,0.83333,0.16627,0.06457,1.15481,13.0446,0.04242,0.000721418,0.000721418,0.000721418
7,98.9838,1.14915,6.42638,0.03091,0.00531,0.83333,0.15248,0.07216,1.15866,13.0971,0.04151,0.000711902,0.000711902,0.000711902
8,110.322,1.00893,6.22991,0.02655,0.00443,0.83333,0.13561,0.06962,1.22418,13.1995,0.04649,0.000702385,0.000702385,0.000702385
9,121.36,1.07103,6.1069,0.02775,0.00399,0.88889,0.27867,0.10352,0.93934,12.6755,0.03469,0.000692869,0.000692869,0.000692869
10,138.926,1.08222,5.99699,0.02809,0.00414,0.94444,0.22908,0.09142,0.92821,12.6173,0.03466,0.000683353,0.000683353,0.000683353
11,151.351,1.00731,5.90147,0.02589,0.00434,1,0.21969,0.09129,0.90726,12.5374,0.03359,0.000673836,0.000673836,0.000673836
12,161.99,1.13031,5.89491,0.02877,0.00435,1,0.18244,0.07831,1.0045,12.6138,0.03652,0.00066432,0.00066432,0.00066432
13,172.591,1.05228,5.91425,0.02834,0.00426,1,0.16472,0.08633,1.11144,12.699,0.04101,0.000654804,0.000654804,0.000654804
14,183.392,1.04169,5.92722,0.02671,0.00412,0.94444,0.13027,0.06625,1.16156,12.7128,0.04297,0.000645287,0.000645287,0.000645287
15,194.052,1.02498,5.85119,0.02623,0.00408,0.94444,0.15117,0.06656,1.13918,12.6087,0.04145,0.000635771,0.000635771,0.000635771
16,204.329,0.96369,5.5347,0.02469,0.004,0.94444,0.1215,0.0658,1.07657,12.4235,0.03898,0.000626254,0.000626254,0.000626254
17,215.245,1.00063,5.57028,0.02643,0.64577,0.22222,0.22184,0.09985,1.05443,12.235,0.03806,0.000616738,0.000616738,0.000616738
18,225.663,0.93996,5.52422,0.02418,0.69442,0.11111,0.22678,0.11099,1.00307,12.0278,0.03705,0.000607222,0.000607222,0.000607222
19,236.266,0.89793,5.3376,0.02388,0.67673,0.16667,0.17027,0.10479,0.91839,11.7782,0.03376,0.000597705,0.000597705,0.000597705
20,247.011,0.95609,5.34652,0.02495,0.64484,0.16667,0.16847,0.10657,0.86494,11.6342,0.03224,0.000588189,0.000588189,0.000588189
21,257.542,1.00345,5.65619,0.02854,0.58758,0.21981,0.21181,0.1383,1.05111,11.6113,0.04071,0.000578672,0.000578672,0.000578672
22,267.874,0.95917,5.28781,0.02501,0.30779,0.21267,0.19473,0.12831,1.04875,11.5047,0.04087,0.000569156,0.000569156,0.000569156
23,278.417,1.0235,5.37591,0.02684,0.55409,0.16667,0.18768,0.12513,1.09726,11.5024,0.0425,0.00055964,0.00055964,0.00055964
24,288.452,0.92842,5.33538,0.02369,0.5696,0.16667,0.1755,0.11297,1.10512,11.4854,0.04311,0.000550123,0.000550123,0.000550123
25,299.384,0.95389,5.10474,0.02393,0.42102,0.27778,0.12552,0.07579,1.12273,11.3378,0.04453,0.000540607,0.000540607,0.000540607
26,309.863,0.95895,5.29548,0.0253,0.8635,0.11111,0.12025,0.06992,1.15644,11.332,0.04608,0.000531091,0.000531091,0.000531091
27,320.11,0.94731,4.92651,0.0235,0.74787,0.11111,0.10577,0.06164,1.20053,11.223,0.04726,0.000521574,0.000521574,0.000521574
28,330.482,0.98482,5.07934,0.02706,0.61091,0.18471,0.10659,0.0621,1.22475,11.1136,0.04794,0.000512058,0.000512058,0.000512058
29,341.048,0.86403,5.04215,0.02336,0.63601,0.16667,0.13417,0.08918,1.17255,10.703,0.04574,0.000502541,0.000502541,0.000502541
30,351.827,1.05986,5.13635,0.02869,0.46253,0.32281,0.17165,0.11762,1.10254,10.5051,0.04276,0.000493025,0.000493025,0.000493025
31,362.287,0.98023,5.005,0.02541,0.61698,0.27778,0.1745,0.12075,1.16789,10.4239,0.04629,0.000483509,0.000483509,0.000483509
32,372.796,1.02113,4.81637,0.02704,0.50541,0.33205,0.18265,0.11712,1.11217,10.2738,0.04332,0.000473992,0.000473992,0.000473992
33,383.824,0.97329,4.77464,0.02674,0.24759,0.29077,0.19889,0.13453,1.00359,9.93225,0.03841,0.000464476,0.000464476,0.000464476
34,394.933,0.98776,4.62792,0.02562,0.47459,0.20238,0.20144,0.13531,0.89854,9.76136,0.03344,0.00045496,0.00045496,0.00045496
35,405.526,0.93905,4.69092,0.02461,0.59926,0.20047,0.21259,0.15031,0.83516,9.6545,0.03055,0.000445443,0.000445443,0.000445443
36,415.977,0.98667,4.68895,0.02653,0.60253,0.20352,0.22205,0.15073,0.8115,9.56178,0.02939,0.000435927,0.000435927,0.000435927
37,426.454,0.98672,4.91292,0.02602,0.14477,0.22222,0.20028,0.15482,0.87134,9.42309,0.0319,0.000426411,0.000426411,0.000426411
38,436.789,0.95794,4.62015,0.02388,0.20627,0.16667,0.1964,0.15646,0.87912,9.36213,0.03267,0.000416894,0.000416894,0.000416894
39,447.246,0.91252,4.70758,0.02259,0.20553,0.16667,0.15711,0.12762,0.84606,9.27506,0.03119,0.000407378,0.000407378,0.000407378
40,457.595,0.96975,4.66266,0.024,0.08815,0.25888,0.14219,0.11415,0.81751,9.24811,0.02994,0.000397861,0.000397861,0.000397861
41,468.445,0.99513,4.47925,0.02526,0.21346,0.22222,0.14568,0.1095,0.85113,9.23504,0.03063,0.000388345,0.000388345,0.000388345
42,478.569,0.92622,4.65744,0.02276,0.2169,0.22222,0.14272,0.10283,0.90428,9.27389,0.03271,0.000378829,0.000378829,0.000378829
43,489.568,1.00159,4.33317,0.02677,0.2244,0.27778,0.14449,0.10279,0.91001,9.24057,0.03306,0.000369312,0.000369312,0.000369312
44,499.922,0.9941,4.6279,0.02623,0.22482,0.27778,0.14661,0.10299,0.90677,9.17401,0.03336,0.000359796,0.000359796,0.000359796
45,510.669,0.94834,4.64377,0.02473,0.34594,0.27778,0.20441,0.1422,0.85951,9.11996,0.03276,0.00035028,0.00035028,0.00035028
46,521.113,0.98481,4.48001,0.02568,0.37891,0.27778,0.1959,0.13931,0.83383,9.02291,0.03163,0.000340763,0.000340763,0.000340763
47,531.574,1.00663,4.37934,0.02732,0.37092,0.16667,0.19042,0.13612,0.84201,8.97419,0.03165,0.000331247,0.000331247,0.000331247
48,541.97,0.88167,4.42927,0.02257,0.37333,0.16667,0.18297,0.13351,0.89106,8.93625,0.03361,0.00032173,0.00032173,0.00032173
49,557.008,0.87895,4.40755,0.02263,0.37173,0.16667,0.18944,0.13893,0.86155,8.82956,0.03191,0.000312214,0.000312214,0.000312214
50,568.363,0.92003,4.51785,0.02466,0.35638,0.16667,0.19396,0.14076,0.92981,8.82287,0.03486,0.000302698,0.000302698,0.000302698
51,579.919,0.83705,4.39607,0.02237,0.2137,0.16667,0.19458,0.14215,0.95768,8.8096,0.03594,0.000293181,0.000293181,0.000293181
52,591.297,0.98365,4.48007,0.02654,0.07179,0.1725,0.1995,0.14313,0.97395,8.7915,0.03634,0.000283665,0.000283665,0.000283665
53,602.459,0.90445,4.49853,0.02307,0.0714,0.24469,0.17472,0.12938,1.03728,8.73318,0.03841,0.000274148,0.000274148,0.000274148
54,613.965,0.94515,4.31277,0.02487,0.07122,0.36786,0.17434,0.12969,1.01867,8.64967,0.03721,0.000264632,0.000264632,0.000264632
