epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,5260.67,0.88345,4.5727,0.02137,0.05395,0.25207,0.1326,0.08633,0.8962,9.37525,0.03072,0.000378829,0.000378829,0.000378829
43,5359.12,0.9767,4.26606,0.0255,0.05354,0.28513,0.12925,0.08617,0.94483,9.27875,0.03341,0.000369312,0.000369312,0.000369312
44,5453.71,0.99065,4.53886,0.026,0.05171,0.27778,0.14767,0.10135,0.90594,9.14995,0.03235,0.000359796,0.000359796,0.000359796
45,5506.92,0.98012,4.56269,0.02544,0.08012,0.37849,0.15936,0.10795,1.0492,9.15718,0.03797,0.00035028,0.00035028,0.00035028
46,5603.21,0.9281,4.46813,0.02402,0.11008,0.45992,0.16321,0.10247,1.04463,9.11849,0.03831,0.000340763,0.000340763,0.000340763
47,5725.03,0.97323,4.33465,0.02706,0.12055,0.51353,0.2166,0.10362,0.95673,9.04577,0.03394,0.000331247,0.000331247,0.000331247
48,5812.06,0.89896,4.3442,0.02202,0.10691,0.45177,0.22358,0.11358,1.00257,9.02719,0.03585,0.00032173,0.00032173,0.00032173
49,5864.24,0.90538,4.27416,0.02332,0.09927,0.43404,0.16326,0.10973,0.92701,8.92523,0.0327,0.000312214,0.000312214,0.000312214
50,5901.77,0.95256,4.42177,0.02524,0.09196,0.41221,0.17162,0.12573,0.88919,8.8808,0.03119,0.000302698,0.000302698,0.000302698
51,5982.66,0.83149,4.363,0.02256,0.06109,0.33333,0.18552,0.14167,0.81007,8.86503,0.02838,0.000293181,0.000293181,0.000293181
52,6095.83,0.97789,4.3798,0.02672,0.06601,0.36025,0.19658,0.14906,0.86021,8.84317,0.03008,0.000283665,0.000283665,0.000283665
53,6150.67,0.91664,4.31222,0.02353,0.0743,0.3113,0.21233,0.15667,0.9462,8.7549,0.03429,0.000274148,0.000274148,0.000274148
54,6201.03,0.92833,4.1889,0.02481,0.0777,0.3264,0.20834,0.15336,0.92456,8.71755,0.03404,0.000264632,0.000264632,0.000264632
55,6302.82,0.91072,4.0172,0.02316,0.07478,0.33658,0.20873,0.15342,0.92497,8.65857,0.03428,0.000255116,0.000255116,0.000255116
56,6435.08,0.85443,4.05894,0.02085,0.07689,0.32757,0.20712,0.1521,0.92233,8.61054,0.03412,0.000245599,0.000245599,0.000245599
57,6574.31,0.89462,4.11236,0.02335,0.07561,0.32719,0.20881,0.15152,0.92705,8.53893,0.03376,0.000236083,0.000236083,0.000236083
58,6665.04,0.90853,4.22357,0.02456,0.06065,0.27778,0.20619,0.15052,0.9026,8.505,0.03275,0.000226567,0.000226567,0.000226567
59,6777.11,0.90818,4.21019,0.02482,0.06004,0.27778,0.20494,0.15034,0.88604,8.4795,0.03247,0.00021705,0.00021705,0.00021705
60,6832.86,0.92348,4.14639,0.0243,0.06814,0.29928,0.21096,0.15374,0.88355,8.45088,0.03227,0.000207534,0.000207534,0.000207534
61,6909.25,0.90044,4.00802,0.02242,0.06328,0.27778,0.21482,0.14719,1.00781,8.45406,0.03708,0.000198018,0.000198018,0.000198018
62,6991.99,0.95477,4.22147,0.02528,0.07611,0.32234,0.21989,0.15091,0.95034,8.45784,0.03453,0.000188501,0.000188501,0.000188501
