epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3295,1.41842,8.3248,0.02385,0,0,0,0,0.40319,12.7509,0.00656,9.25556e-05,9.25556e-05,9.25556e-05
2,32.1766,1.0488,7.77368,0.01725,0,0,0,0,0.52851,12.8,0.00849,0.000188197,0.000188197,0.000188197
3,35.5769,0.93271,7.57443,0.01483,0.02636,0.15714,0.04111,0.03628,0.38764,12.3732,0.00638,0.000281414,0.000281414,0.000281414
4,39.464,0.85109,7.24061,0.01331,0.10741,0.82929,0.25009,0.2053,0.55183,12.2627,0.00982,0.000283085,0.000283085,0.000283085
5,43.4667,0.85097,7.20998,0.01327,0.0773,0.94714,0.27937,0.25667,0.4469,11.582,0.00756,0.000279447,0.000279447,0.000279447
6,47.1339,0.89224,6.86521,0.01434,0.41728,0.35857,0.3782,0.3238,0.44598,11.2012,0.00767,0.000275809,0.000275809,0.000275809
7,50.8912,0.8697,6.28328,0.01345,0.74995,0.36606,0.41148,0.35589,0.59603,10.9675,0.01069,0.000272171,0.000272171,0.000272171
8,54.6657,0.90091,6.18998,0.01444,0.29784,0.60369,0.47832,0.37842,0.82827,11.1703,0.01626,0.000268532,0.000268532,0.000268532
9,58.8134,0.96213,6.05723,0.01452,0.44233,0.55471,0.54203,0.45404,0.5091,10.3431,0.00953,0.000264894,0.000264894,0.000264894
10,63.2582,0.92651,5.94637,0.01504,0.43353,0.71864,0.60412,0.47535,0.77739,10.5141,0.01462,0.000261256,0.000261256,0.000261256
11,67.3842,0.92453,5.5585,0.01407,0.476,0.6381,0.62861,0.54573,0.57529,9.95378,0.00996,0.000257617,0.000257617,0.000257617
12,71.4752,0.90503,5.67381,0.01393,0.52834,0.63697,0.68194,0.55352,0.69208,9.95964,0.01257,0.000253979,0.000253979,0.000253979
13,75.6032,0.87494,5.74714,0.01447,0.53674,0.77324,0.77522,0.65117,0.63282,9.57358,0.0115,0.000250341,0.000250341,0.000250341
14,79.6246,0.90484,5.43368,0.01352,0.62421,0.73167,0.81886,0.71738,0.51412,9.24945,0.00916,0.000246703,0.000246703,0.000246703
15,83.754,0.91681,5.14572,0.01487,0.67493,0.85407,0.84944,0.70994,0.7005,9.19544,0.01237,0.000243064,0.000243064,0.000243064
16,87.4781,0.85795,4.85713,0.01316,0.72204,0.87299,0.87399,0.75026,0.62141,8.94768,0.01108,0.000239426,0.000239426,0.000239426
17,91.6015,0.92915,5.00438,0.01428,0.81092,0.82984,0.90951,0.74491,0.68537,8.76311,0.01289,0.000235788,0.000235788,0.000235788
18,95.5274,0.8883,4.77825,0.01399,0.85895,0.83352,0.92116,0.79261,0.49327,8.41385,0.00819,0.00023215,0.00023215,0.00023215
19,99.6348,0.89632,4.70892,0.01419,0.91136,0.84063,0.93106,0.7609,0.76315,8.51991,0.01435,0.000228511,0.000228511,0.000228511
20,103.443,0.89597,4.69128,0.01381,0.86825,0.91172,0.92574,0.82738,0.49448,8.15403,0.00863,0.000224873,0.000224873,0.000224873
21,107.634,0.89536,4.80997,0.0146,0.88746,0.89402,0.93759,0.77576,0.71758,8.20917,0.0134,0.000221235,0.000221235,0.000221235
22,111.418,0.89017,4.59976,0.01397,0.85675,0.91595,0.93092,0.80825,0.58084,7.9223,0.00975,0.000217597,0.000217597,0.000217597
23,115.257,0.88029,4.37138,0.01353,0.92848,0.94224,0.94229,0.81859,0.51966,7.63993,0.00853,0.000213958,0.000213958,0.000213958
24,119.188,0.86571,4.50459,0.01332,0.91884,0.93619,0.94429,0.77341,0.70616,7.68993,0.01262,0.00021032,0.00021032,0.00021032
25,123.129,0.88772,4.08048,0.01281,0.90929,0.93449,0.93224,0.81611,0.58184,7.40957,0.00998,0.000206682,0.000206682,0.000206682
26,127.109,0.86694,4.28256,0.01411,0.91693,0.92038,0.93332,0.79219,0.72,7.49077,0.01346,0.000203044,0.000203044,0.000203044
27,131.034,0.84033,4.21962,0.01253,0.93037,0.93019,0.94095,0.78709,0.77428,7.35053,0.01413,0.000199406,0.000199406,0.000199406
28,134.983,0.87905,4.09941,0.01369,0.91848,0.94702,0.94345,0.82032,0.69018,7.11065,0.01205,0.000195767,0.000195767,0.000195767
29,139.108,0.86744,4.0137,0.01344,0.92662,0.95374,0.94512,0.75731,0.91405,7.21174,0.01727,0.000192129,0.000192129,0.000192129
30,143.056,0.86706,4.06524,0.01401,0.9389,0.9401,0.94463,0.7975,0.7168,6.89918,0.01298,0.000188491,0.000188491,0.000188491
