epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8071,1.53975,7.87201,0.03628,0,0,0,0,0.75608,13.3724,0.01869,9.25556e-05,9.25556e-05,9.25556e-05
2,33.9816,1.19955,7.4622,0.02742,0,0,0,0,0.60171,13.1009,0.01363,0.000188197,0.000188197,0.000188197
3,38.9826,1.11093,7.30733,0.02603,0,0,0,0,0.59294,12.9184,0.01216,0.000281414,0.000281414,0.000281414
4,43.4713,1.04858,7.0305,0.02358,0.04996,0.25714,0.06083,0.0484,0.66849,12.8735,0.01328,0.000283085,0.000283085,0.000283085
5,47.5441,1.02256,7.1781,0.02276,0.05386,0.43829,0.09354,0.07692,0.6367,12.5311,0.01314,0.000279447,0.000279447,0.000279447
6,51.3998,0.97758,6.84076,0.02188,0.03654,0.52282,0.10956,0.09103,0.57227,12.2329,0.01195,0.000275809,0.000275809,0.000275809
7,55.358,0.9711,6.76664,0.0211,0.62225,0.12324,0.14946,0.11403,0.69554,12.1541,0.01559,0.000272171,0.000272171,0.000272171
8,58.5673,0.98715,6.50583,0.02206,0.51403,0.19484,0.17737,0.14427,0.63567,11.8176,0.01349,0.000268532,0.000268532,0.000268532
9,62.0765,0.93874,6.28944,0.02053,0.50192,0.27556,0.21418,0.16101,0.65462,11.5184,0.01354,0.000264894,0.000264894,0.000264894
10,65.7782,1.0109,6.30391,0.02306,0.6412,0.24964,0.25105,0.18607,0.78863,11.3754,0.0159,0.000261256,0.000261256,0.000261256
11,69.3625,0.99103,6.0526,0.02175,0.43192,0.27937,0.29452,0.22315,0.89607,11.2455,0.01909,0.000257617,0.000257617,0.000257617
12,73.5249,0.95868,6.20899,0.02195,0.59184,0.24374,0.2927,0.20679,0.93689,11.1598,0.02056,0.000253979,0.000253979,0.000253979
13,77.5593,1.00872,5.8737,0.02256,0.48161,0.25919,0.31782,0.22437,0.87757,10.8192,0.01907,0.000250341,0.000250341,0.000250341
14,81.3568,0.99596,5.79504,0.02275,0.3308,0.35593,0.31754,0.21316,0.95173,10.8561,0.02178,0.000246703,0.000246703,0.000246703
15,84.9681,1.01011,5.54447,0.0234,0.69736,0.23389,0.32448,0.24399,0.93602,10.5964,0.02058,0.000243064,0.000243064,0.000243064
16,88.6158,0.90344,5.44153,0.01953,0.56019,0.31825,0.35527,0.27,0.84462,10.2894,0.01792,0.000239426,0.000239426,0.000239426
17,92.3925,0.97289,5.42127,0.02144,0.51365,0.32304,0.33419,0.26087,0.76877,10.1398,0.01702,0.000235788,0.000235788,0.000235788
18,96.059,0.94494,5.31822,0.02161,0.66819,0.33276,0.39603,0.32366,0.74043,9.89423,0.01624,0.00023215,0.00023215,0.00023215
19,99.957,1.00804,5.31654,0.02233,0.46334,0.36272,0.40669,0.30923,0.88863,9.8347,0.02074,0.000228511,0.000228511,0.000228511
20,103.862,0.98423,5.18561,0.02121,0.55843,0.3791,0.4382,0.36326,0.79664,9.51357,0.01643,0.000224873,0.000224873,0.000224873
21,107.486,0.98973,5.26863,0.02274,0.613,0.37385,0.46248,0.36269,0.83571,9.44031,0.01754,0.000221235,0.000221235,0.000221235
22,111.207,1.05723,5.15174,0.02451,0.47186,0.47747,0.48602,0.40239,0.7947,9.21404,0.01652,0.000217597,0.000217597,0.000217597
23,115.288,0.95817,4.93978,0.02137,0.45602,0.50338,0.50825,0.39785,0.79577,8.97837,0.01699,0.000213958,0.000213958,0.000213958
24,118.895,0.96165,4.92219,0.02101,0.46991,0.53796,0.52399,0.43918,0.73315,8.7364,0.01582,0.00021032,0.00021032,0.00021032
25,122.625,0.97713,4.83561,0.02129,0.42703,0.53287,0.49723,0.40259,0.84762,8.75021,0.01892,0.000206682,0.000206682,0.000206682
26,126.299,1.02092,4.8347,0.02285,0.63576,0.41801,0.52067,0.426,0.77742,8.503,0.01693,0.000203044,0.000203044,0.000203044
27,129.995,0.97162,4.75745,0.0223,0.46812,0.53017,0.51182,0.39028,0.79652,8.46252,0.01813,0.000199406,0.000199406,0.000199406
28,133.718,0.92519,4.69645,0.02006,0.43789,0.54578,0.5071,0.39674,0.74927,8.34383,0.01751,0.000195767,0.000195767,0.000195767
29,137.535,0.98939,4.64262,0.02293,0.59125,0.54637,0.58251,0.43922,0.83759,8.33694,0.0197,0.000192129,0.000192129,0.000192129
30,141.546,0.9441,4.48825,0.02066,0.6905,0.52872,0.59969,0.47782,0.6812,8.04006,0.01511,0.000188491,0.000188491,0.000188491
31,145.576,0.97562,4.51568,0.02125,0.60583,0.55632,0.58014,0.45384,0.74902,7.92637,0.01782,0.000184853,0.000184853,0.000184853
32,149.438,0.91174,4.46015,0.02084,0.55044,0.58229,0.61013,0.47084,0.79679,7.74641,0.01791,0.000181214,0.000181214,0.000181214
33,152.844,0.95166,4.31606,0.02061,0.58852,0.55539,0.6129,0.48722,0.74786,7.62868,0.01705,0.000177576,0.000177576,0.000177576
34,156.666,0.92165,4.26,0.02056,0.78625,0.48768,0.63449,0.48017,0.88335,7.68335,0.01944,0.000173938,0.000173938,0.000173938
35,160.308,1.01382,4.53789,0.02283,0.61631,0.62147,0.65765,0.52868,0.72209,7.44102,0.0151,0.000170299,0.000170299,0.000170299
36,163.925,0.94779,4.37312,0.02062,0.6706,0.60132,0.6547,0.52015,0.8041,7.45381,0.01787,0.000166661,0.000166661,0.000166661
37,167.596,0.94167,4.30447,0.02005,0.66893,0.62024,0.64307,0.51734,0.81848,7.32696,0.01827,0.000163023,0.000163023,0.000163023
38,171.279,0.94933,4.13898,0.02047,0.53641,0.65776,0.60585,0.47598,0.8021,7.25466,0.01936,0.000159385,0.000159385,0.000159385
39,175.041,0.90744,4.15334,0.02092,0.65457,0.57404,0.62652,0.48084,0.82795,7.23323,0.01923,0.000155747,0.000155747,0.000155747
40,178.814,0.94489,4.12063,0.02093,0.68217,0.60932,0.64212,0.51628,0.77577,7.06501,0.01615,0.000152108,0.000152108,0.000152108
41,182.834,0.92524,3.98554,0.02067,0.71322,0.56514,0.64235,0.52252,0.81921,7.0125,0.01596,0.00014847,0.00014847,0.00014847
42,186.769,0.95494,4.01387,0.02148,0.70472,0.56777,0.64757,0.53641,0.82574,6.93165,0.01657,0.000144832,0.000144832,0.000144832
43,190.442,0.93053,3.92173,0.02121,0.73338,0.61055,0.65661,0.52428,0.84238,6.88765,0.01824,0.000141193,0.000141193,0.000141193
44,194.121,0.95142,4.07661,0.02098,0.7477,0.58458,0.66131,0.5284,0.80734,6.8342,0.01789,0.000137555,0.000137555,0.000137555
45,197.676,0.94043,3.9346,0.01989,0.83107,0.5886,0.66814,0.54115,0.75385,6.72474,0.01655,0.000133917,0.000133917,0.000133917
46,201.565,0.88065,3.72742,0.01843,0.77827,0.60698,0.66674,0.53928,0.7661,6.62258,0.01612,0.000130279,0.000130279,0.000130279
47,205.14,0.88772,3.76139,0.01931,0.7065,0.62696,0.67263,0.54174,0.72857,6.53568,0.01606,0.000126641,0.000126641,0.000126641
48,209.029,0.91553,3.89583,0.01963,0.69396,0.6317,0.68673,0.56154,0.72629,6.49088,0.01551,0.000123002,0.000123002,0.000123002
49,212.709,0.89947,3.59755,0.01957,0.68584,0.63103,0.67209,0.54387,0.75557,6.46417,0.01581,0.000119364,0.000119364,0.000119364
50,216.275,0.89181,3.66304,0.01922,0.70188,0.65453,0.67427,0.54566,0.76378,6.35276,0.0159,0.000115726,0.000115726,0.000115726
51,220.136,0.89741,3.71572,0.01924,0.71994,0.64438,0.67424,0.54085,0.76094,6.29103,0.01657,0.000112087,0.000112087,0.000112087
52,223.842,0.9484,3.65437,0.02011,0.72735,0.61191,0.66386,0.53049,0.70476,6.18016,0.01529,0.000108449,0.000108449,0.000108449
53,227.339,0.88642,3.64171,0.01859,0.71656,0.61609,0.6623,0.5148,0.73925,6.15934,0.01634,0.000104811,0.000104811,0.000104811
54,230.92,0.86595,3.57651,0.01925,0.70498,0.62363,0.6578,0.53129,0.66846,6.08356,0.01436,0.000101173,0.000101173,0.000101173
55,234.567,0.87652,3.48743,0.01975,0.68666,0.62557,0.65492,0.5196,0.71597,6.07719,0.01543,9.75345e-05,9.75345e-05,9.75345e-05
56,238.266,0.89397,3.57307,0.01875,0.65684,0.63843,0.66881,0.50959,0.76249,6.06076,0.01687,9.38963e-05,9.38963e-05,9.38963e-05
57,241.934,0.88828,3.59689,0.0191,0.75249,0.59836,0.67399,0.53649,0.70524,5.95076,0.01544,9.0258e-05,9.0258e-05,9.0258e-05
58,245.927,0.88425,3.50681,0.01925,0.77422,0.5764,0.66424,0.53287,0.7026,5.93032,0.01507,8.66197e-05,8.66197e-05,8.66197e-05
59,249.574,0.90559,3.49195,0.01926,0.69111,0.62427,0.67046,0.53784,0.71647,5.87911,0.01496,8.29815e-05,8.29815e-05,8.29815e-05
60,253.292,0.88357,3.42453,0.01898,0.65132,0.65484,0.66215,0.53574,0.73868,5.84481,0.01614,7.93432e-05,7.93432e-05,7.93432e-05
61,257.356,0.86935,3.45685,0.01917,0.65,0.63938,0.66183,0.5484,0.66618,5.75613,0.01354,7.5705e-05,7.5705e-05,7.5705e-05
