epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,179.552,0.06804,0.94366,0.94366,0.44062,8.35938e-05,8.35938e-05,8.35938e-05
72,184.237,0.05659,0.94366,0.94366,0.42947,7.58594e-05,7.58594e-05,7.58594e-05
73,189.389,0.06147,0.94366,0.94366,1.22638,6.8125e-05,6.8125e-05,6.8125e-05
74,193.588,0.10615,0.94366,0.94366,1.56378,6.03906e-05,6.03906e-05,6.03906e-05
75,196.705,0.09032,0.94366,0.94366,0.46046,5.26562e-05,5.26562e-05,5.26562e-05
76,199.107,0.06544,0.94366,0.94366,2.64138,4.49219e-05,4.49219e-05,4.49219e-05
77,201.154,0.03787,0.94366,0.94366,0.43424,3.71875e-05,3.71875e-05,3.71875e-05
78,203.738,0.20786,0.94366,0.94366,1.40446,2.94531e-05,2.94531e-05,2.94531e-05
79,206.083,0.08125,0.94366,0.94366,0.43949,2.17188e-05,2.17188e-05,2.17188e-05
80,208.234,0.08059,0.94366,0.94366,1.14479,1.39844e-05,1.39844e-05,1.39844e-05
